"[2308, 0.0, 0.0]"
"[1845, 0.375, -0.275]"
"[926, 0.6000000000000001, 0.7]"
"[3851, 0.75, 0.8]"
"[2763, 0.5499999999999999, 0.23333333333333336]"
"[778, 0.825, 0.10000000000000003]"
"[3312, 0.75, 0.125]"
"[3267, 0.6206845238095238, 0.24523809523809526]"
"[570, 0.5097883597883598, 0.33406084656084656]"
"[2229, 0.5807070707070707, 0.3101136363636363]"
"[3538, 0.7666666666666666, -0.4888888888888889]"
"[3185, 0.4979166666666667, 0.39489583333333333]"
"[1884, 0.5803030303030302, 0.1712121212121212]"
"[3230, 0.488477366255144, 0.0753968253968254]"
"[811, 0.3946428571428572, 0.12857142857142856]"
"[3520, 0.5277777777777778, 0.20833333333333334]"
"[2992, 0.5242788461538461, 0.42091346153846143]"
"[3102, 0.5499999999999999, 0.17727272727272728]"
"[1813, 0.6154761904761905, 0.4226190476190476]"
"[458, 0.5893939393939394, -0.08484848484848483]"
"[1945, 0.7128888888888889, 0.2591111111111111]"
"[2007, 0.4041666666666667, 0.17083333333333334]"
"[492, 0.62, -0.06500000000000002]"
"[2563, 0.4658730158730159, 0.2626984126984127]"
"[3819, 0.4600000000000001, 5.551115123125783e-18]"
"[814, 0.6000000000000001, -0.35]"
"[3270, 0.5034722222222222, 0.04548611111111111]"
"[438, 0.414021164021164, 0.06812169312169311]"
"[1939, 0.0, 0.0]"
"[3375, 0.6738095238095237, 0.1738095238095238]"
"[1305, 0.5625, 0.27]"
"[785, 0.9, 0.29333333333333333]"
"[2708, 0.4666285145830601, -0.03607331431195066]"
"[89, 0.5828947368421054, 0.2618421052631579]"
"[2942, 1.0, 1.0]"
"[3168, 0.5779761904761905, 0.2709821428571429]"
"[3707, 0.6666666666666667, 0.395]"
"[265, 0.4375, -0.09895833333333336]"
"[2687, 0.6717261904761904, 0.3569826007326007]"
"[1986, 0.5011363636363636, 0.5340909090909091]"
"[3483, 0.7300000000000001, 0.1125]"
"[1960, 0.55, -0.05]"
"[1554, 0.4947435897435898, 0.23878205128205135]"
"[3048, 0.24666666666666667, -0.052500000000000005]"
"[3437, 0.42895061728395056, 0.13895061728395064]"
"[3752, 0.5566666666666665, 0.17444444444444446]"
"[515, 0.5791666666666667, 0.20937499999999998]"
"[3590, 0.6055555555555556, 0.29806547619047624]"
"[3727, 0.3125, 0.19722222222222222]"
"[2954, 0.466083916083916, 0.11383304195804198]"
"[1755, 0.6145833333333334, -0.11458333333333336]"
"[787, 0.3395833333333333, 0.015833333333333335]"
"[1793, 0.5216205837173579, 0.07089093701996926]"
"[2279, 0.6895833333333333, 0.38333333333333336]"
"[317, 0.494749373433584, -0.054204260651629074]"
"[346, 0.7916666666666667, 0.7708333333333334]"
"[244, 0.4, 0.07272727272727272]"
"[678, 0.43333333333333335, -0.3999999999999999]"
"[536, 0.37463768115942025, 0.19193840579710147]"
"[2623, 0.435048500881834, 0.1666115520282187]"
"[1761, 0.6004042832167833, 0.19680397727272728]"
"[1, 0.5, -0.2]"
"[646, 1.0, 0.78]"
"[3709, 0.5751488095238095, 0.1951190476190476]"
"[602, 0.6428148148148148, 0.16292592592592592]"
"[176, 0.6810064935064934, 0.4318181818181818]"
"[3061, 0.6598958333333333, 0.07135416666666666]"
"[2757, 0.6, 0.0]"
"[1881, 0.4875, 0.041666666666666685]"
"[1536, 0.5666666666666667, 0.08333333333333334]"
"[3090, 0.6416666666666667, 0.51875]"
"[1780, 0.3347222222222222, -0.005555555555555553]"
"[890, 0.55, 0.1890625]"
"[1225, 0.0, 0.0]"
"[2461, 0.3719387755102041, 0.09846938775510204]"
"[224, 0.4725555555555555, 0.1856666666666667]"
