,avg_star
543,4.3
544,3.8
545,4.3
546,3.9
547,4.2
548,3
549,4.2
550,4.3
551,4.4
552,3.9
553,4.3
554,4.4
555,4.3
556,4.4
557,4.3
558,3.7
559,4.5
560,4.3
561,3.8
562,4.5
563,3.6
564,4.4
565,4.3
566,3.9
567,4.3
568,4.3
569,4.4
570,4.4
571,4.3
572,4.4
573,4.4
574,4.2
575,4.4
576,4.4
577,3
578,4.4
579,4.4
580,4.4
581,4.2
582,4.1
583,3.9
584,4.4
585,4.2
586,4.4
587,4.6
588,3.6
589,4.4
590,3.9
591,4.4
592,3.9
593,4.3
594,3.9
595,4.3
596,4.3
597,4.4
598,4.3
599,4.3
600,4.2
601,4.2
602,4.3
603,4.3
604,4.2
605,3.6
606,4.4
607,4.8
608,3
609,4.4
610,4.4
611,4.3
612,3
613,4.4
614,4.4
615,3.3
616,4.4
617,4.4
618,4.4
619,4.2
620,4.2
621,4.2
622,4.3
623,4.2
624,4.1
625,4.3
626,3.8
627,4.3
628,4.4
629,3.6
630,3.2
631,4.2
632,4.4
633,4.2
634,3.3
635,4.4
636,4.3
637,4.4
638,4.4
639,3.2
640,4.3
641,4.6
642,4.3
643,3.6
644,4.6
645,3.3
646,3.8
647,4.4
648,3.9
649,4.3
650,4.1
651,4.4
652,3.6
653,4.4
654,4.3
655,4.3
656,4.3
657,4.4
658,4.4
659,4.3
660,4.4
661,4.4
662,4.3
663,4.4
664,4.2
665,4.2
666,4.2
667,3.2
668,4.2
669,4.1
670,4.4
671,4.2
672,4.2
673,4.2
674,4.3
675,4.4
676,4.2
677,4.3
678,4.6
679,4.3
680,4.4
681,4.3
682,4.2
683,4.4
684,3.9
685,4.4
686,4.3
687,4.4
688,4.4
689,3
690,3.3
691,4.4
692,4.1
693,4.2
694,3.3
695,4
696,4.2
697,4.3
698,4.4
699,4.5
700,4.4
701,4.3
702,4.2
703,4.4
704,4.4
705,4.3
706,4.4
707,3.8
708,4
709,4.6
710,4.3
711,4.4
712,4.3
713,4.4
714,4.4
715,4.4
716,3.3
717,4.6
718,4.4
719,4.4
720,4.4
721,4.3
722,4.4
723,4.4
724,4.1
725,4.6
726,3.6
727,4.2
728,4.2
729,4.3
730,4.3
731,3.3
732,4.3
733,4.2
734,3.3
735,4.2
