"[438, 0.0, 0.0]"
"[438, 0.5, 0.5]"
"[438, 0.2916666666666667, -0.041666666666666664]"
"[438, 1.0, 0.65]"
"[438, 0.4, 0.0]"
"[438, 0.425, -0.04375]"
"[438, 0.5483333333333333, -0.11833333333333333]"
"[438, 0.0, 0.0]"
"[438, 0.50625, -0.125]"
"[438, 0.0, 0.0]"
"[438, 0.39999999999999997, -0.30000000000000004]"
"[438, 0.0, 0.0]"
"[438, 0.5, 0.15625]"
"[438, 0.5, 0.2]"
"[438, 0.3125, 0.25]"
"[438, 0.4000000000000001, 0.16666666666666666]"
"[438, 0.0, 0.0]"
"[438, 0.4, 0.4]"
"[438, 0.2791666666666667, -0.08333333333333333]"
"[438, 0.4, 0.15000000000000002]"
"[438, 0.2875, -0.0875]"
"[438, 0.3597222222222222, 0.08611111111111111]"
"[438, 0.4, 0.4]"
"[438, 0.5, 0.5]"
"[438, 0.1, 0.0]"
"[1939, 0.0, 0.0]"
"[3375, 0.6738095238095237, 0.1738095238095238]"
"[1305, 0.0, 0.0]"
"[1305, 0.625, 0.5]"
"[1305, 0.6, 0.43333333333333335]"
"[1305, 0.54, 0.18]"
"[1305, 0.5, 0.0]"
"[785, 0.9, 0.29333333333333333]"
"[2708, 0.6, -0.4]"
"[2708, 0.0, 0.0]"
"[2708, 0.0, 0.0]"
"[2708, 0.65, -0.24375000000000002]"
"[2708, 0.0, 0.0]"
"[2708, 0.65, -0.75]"
"[2708, 0.25, 0.0]"
"[2708, 0.2111111111111111, -0.044444444444444446]"
"[2708, 1.0, -0.5]"
"[2708, 0.46, 0.0175]"
"[2708, 0.625, 0.0]"
"[2708, 0.0, 0.0]"
"[2708, 1.0, 0.5]"
"[2708, 0.5119047619047619, -0.07142857142857144]"
"[2708, 0.0, 0.0]"
"[2708, 0.35, 0.15]"
"[2708, 0.0, 0.0]"
"[2708, 0.55, -0.25]"
"[2708, 0.4791666666666667, 0.15416666666666667]"
"[2708, 0.0, 0.0]"
"[2708, 0.5333333333333333, -0.03333333333333333]"
"[2708, 0.3625, -0.2625]"
"[2708, 0.0, 0.0]"
"[2708, 0.125, -0.125]"
"[2708, 0.2, -0.1]"
"[2708, 0.43333333333333335, 0.005208333333333336]"
"[2708, 0.4666666666666667, -0.08333333333333333]"
"[2708, 0.38333333333333336, -0.09791666666666665]"
"[2708, 0.6, 0.4]"
"[2708, 0.3888888888888889, 0.044444444444444446]"
"[2708, 0.0, 0.0]"
"[2708, 0.0, 0.0]"
"[2708, 0.1, 0.0]"
"[2708, 0.0, 0.0]"
"[2708, 0.0, 0.0]"
"[2708, 0.0, 0.0]"
"[2708, 0.5399999999999999, 0.16]"
"[2708, 0.5, 0.5]"
"[2708, 0.6666666666666666, -0.03333333333333333]"
"[2708, 0.0, 0.0]"
"[2708, 0.375, -0.125]"
"[2708, 1.0, 0.0]"
"[2708, 0.525, 0.175]"
"[2708, 0.1, 0.0]"
"[2708, 0.5, -0.5]"
"[2708, 0.0, 0.0]"
"[2708, 0.5108585858585859, 0.05909090909090908]"
"[2708, 0.0, 0.0]"
"[2708, 1.0, 0.0]"
"[89, 0.5333333333333333, 0.46666666666666673]"
"[89, 0.6000000000000001, 0.7]"
"[89, 0.6666666666666666, 0.4333333333333333]"
"[89, 0.75, 0.5]"
"[89, 0.0, 0.0]"
"[89, 0.7, -0.5]"
"[89, 0.7, -0.5]"
"[89, 0.0, 0.0]"
"[89, 0.9, 0.6]"
"[89, 0.5, 0.5]"
"[89, 0.1875, -0.012499999999999997]"
"[89, 0.0, 0.0]"
"[89, 1.0, 1.0]"
"[89, 0.775, 0.024999999999999994]"
"[89, 0.2, -0.025]"
"[2942, 1.0, 1.0]"
"[2942, 0.0, 0.0]"
"[3168, 0.0, 0.0]"
"[3168, 0.0, 0.0]"
"[3168, 0.8083333333333332, 0.6333333333333333]"
"[3168, 0.5666666666666668, 0.05000000000000001]"
"[3168, 0.8, 0.75]"
"[3168, 0.0, 0.0]"
"[3168, 0.6, 0.4]"
"[3168, 1.0, 0.0]"
"[3168, 0.5, -0.1875]"
"[3168, 0.0, 0.0]"
"[3168, 0.0, 0.0]"
"[3168, 0.5, 0.45833333333333337]"
"[3168, 0.5, 0.5]"
"[3168, 0.0, 0.0]"
"[3168, 0.7333333333333333, 0.4333333333333333]"
"[3168, 0.9, 0.3]"
"[3168, 0.6, 0.39999999999999997]"
"[3168, 0.6, 0.4]"
"[3168, 0.25, 0.25]"
"[3168, 0.45, 0.125]"
"[3168, 0.575, 0.024999999999999994]"
"[3168, 0.4375, -0.1625]"
"[3707, 0.9, 0.4]"
"[3707, 1.0, 0.6]"
"[3707, 0.6666666666666666, 0.5833333333333334]"
"[3707, 0.0, 0.0]"
"[3707, 0.8333333333333334, 0.43333333333333335]"
"[3707, 0.3, 0.1]"
"[3707, 0.3333333333333333, 0.16666666666666666]"
"[3707, 0.0, 0.0]"
"[3707, 0.5333333333333333, 0.20000000000000004]"
"[265, 0.4375, -0.09895833333333336]"
"[2687, 0.9, 0.4000000000000001]"
"[2687, 0.0, 0.0]"
"[2687, 0.9, 0.6]"
"[2687, 0.7999999999999999, 0.3833333333333333]"
"[2687, 0.0, 0.0]"
"[2687, 0.0, 0.0]"
"[2687, 0.5916666666666667, 0.08333333333333333]"
"[2687, 0.5354166666666667, 0.0]"
"[2687, 0.5, 1.0]"
"[2687, 1.0, 0.5]"
"[2687, 0.5, 0.5]"
"[2687, 0.0, 0.0]"
"[2687, 0.7166666666666668, 0.5666666666666667]"
"[2687, 0.0, 0.0]"
"[2687, 0.6875, 0.203125]"
"[2687, 0.5589285714285714, 0.45892857142857135]"
"[2687, 0.1, 0.0]"
"[2687, 0.0, 0.0]"
"[1986, 0.6022727272727273, 0.5681818181818181]"
"[1986, 0.4, 0.5]"
"[3483, 0.6, 0.5]"
"[3483, 0.7625, 0.015625]"
"[1960, 0.0, 0.0]"
"[1960, 0.55, -0.05]"
"[1554, 0.75, 0.37083333333333335]"
"[1554, 0.5, 0.41666666666666663]"
"[1554, 0.0, 0.0]"
"[1554, 0.3773809523809524, 0.1369047619047619]"
"[1554, 0.5399999999999999, 0.2]"
"[3048, 0.1875, -0.09375]"
"[3048, 0.35000000000000003, -0.25]"
"[3048, 0.0, 0.0]"
"[3048, 0.25416666666666665, 0.0875]"
"[3048, 0.0, 0.0]"
"[3048, 0.0, 0.0]"
"[3437, 0.2375, -0.1625]"
"[3437, 0.0, 0.0]"
"[3437, 0.75, 0.8]"
"[3437, 0.1, -0.1]"
"[3437, 0.05, 0.2]"
"[3437, 0.4, 0.0]"
"[3437, 0.4, -0.2]"
"[3437, 0.0, 0.0]"
"[3437, 0.8, 0.4]"
"[3437, 0.0, 0.0]"
"[3437, 0.3869047619047619, 0.09047619047619049]"
"[3437, 0.5964285714285714, -0.044642857142857144]"
"[3437, 0.6166666666666667, 0.21666666666666665]"
"[3437, 0.5, 0.0]"
"[3437, 0.0, 0.0]"
"[3437, 0.0, 0.0]"
"[3437, 0.0, 0.0]"
"[3437, 0.375, 0.4]"
"[3437, 1.0, 1.0]"
"[3437, 0.6, 0.2]"
"[3437, 0.5399999999999999, 0.16]"
"[3752, 0.6854166666666667, 0.13958333333333334]"
"[3752, 0.2875, 0.037500000000000006]"
"[3752, 0.6000000000000001, 0.7]"
"[3752, 0.5333333333333333, 0.08333333333333333]"
"[3752, 0.8166666666666667, 0.4166666666666667]"
"[3752, 0.39999999999999997, 0.06666666666666667]"
"[515, 0.5, 0.425]"
"[515, 0.0, 0.0]"
"[515, 0.675, 0.35]"
"[515, 0.0, 0.0]"
"[515, 0.5, 0.0]"
"[515, 0.7, -0.05]"
"[515, 0.4, -0.05]"
"[515, 0.75, 0.20625]"
"[515, 0.7999999999999999, 0.7000000000000001]"
"[515, 0.0, 0.0]"
"[3590, 0.5607142857142857, 0.32857142857142857]"
"[3590, 0.35714285714285715, 0.0]"
"[3590, 0.55, 0.4]"
"[3590, 0.5, -0.1875]"
"[3590, 0.4, 0.1]"
"[3590, 0.6666666666666666, 0.3499999999999999]"
"[3590, 0.0, 0.0]"
"[3590, 1.0, 0.6]"
"[3727, 0.22916666666666666, 0.125]"
