"num_of_chars","num_of_words","num_of_sents","num_of_sylb","num_of_digits","num_unique_words","num_stop_words","pct_caps_lock_words","pct_uppercase","words_entropy","chars_entropy","length_entropy","FOG","FK","ARI","CLI","FRE","SMOG","DC","text_errors","avg_sentence_length","num_excl_marks","num_ques_marks","num_punctuation","num_commas","l1","l2","l2_plus","l2_l9","l10_plus","pct_adverbs","pct_adjectives","pct_nouns","pct_verbs","pct_wh_words","pct_compar_words","pct_open_class_words","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","polarity","subjectivity_2","senti_diffs_per_ref"
95,23,1,1.39130434782609,0,0.956521739130435,0.521739130434783,0.0434782608695652,0.021505376344086,4.43660543431788,4.12373174985484,2.70294008732105,10.9391304347826,9.79739130434783,9.11478260869565,6.68784480582609,65.7856521739131,8.84184627477888,8.89643043478261,0,23,0,0,0.0210526315789474,0.0105263157894737,0.0434782608695652,0.260869565217391,0.695652173913043,0.956521739130435,0,0.173913043478261,0.0869565217391304,0.130434782608696,0.217391304347826,0,0.0434782608695652,0.608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0
177,41,3,1.36585365853659,0,0.731707317073171,0.609756097560976,0.0487804878048781,0.028735632183908,4.73536237036621,4.118394548632,2.44631236267232,8.39349593495935,5.85707317073171,5.39211382113821,6.98778980763902,77.4121138211382,8.84184627477888,8.93583008130081,0,13.6666666666667,0,0,0.0169491525423729,0,0.0487804878048781,0.024390243902439,0.926829268292683,0.951219512195122,0,0.0731707317073171,0.024390243902439,0.292682926829268,0.292682926829268,0.024390243902439,0,0.682926829268293,0,0.414213562373095,0,0,0,0,0.0731707317073171,0,0,0.585786437626905,1,0.0731707317073171,0.0731707317073171
269,64,4,1.375,0,0.765625,0.484375,0.0625,0.0384615384615385,5.4882048827787,4.18066664820217,2.92550014232289,12.025,6.875,5.8515625,6.420633647925,74.27,11.6982194121683,9.11775625,0.015625,16,0,0,0.033457249070632,0.0111524163568773,0.09375,0.125,0.78125,0.90625,0,0.109375,0.078125,0.25,0.1875,0,0,0.625,0,0.316987298107781,0,0,0.316987298107781,0,0.109375,0,0,0.366025403784439,1,0.109375,0.109375
373,86,5,1.43023255813953,0,0.720930232558139,0.558139534883721,0.0813953488372093,0.0354223433242507,5.73999091739217,4.11039980199629,3.15128965412666,10.6009302325581,7.99474418604651,7.26965116279069,7.57093035806511,68.3793255813954,10.3552159691774,9.99775953488372,0,17.2,0,0,0.0160857908847185,0.00268096514745308,0.116279069767442,0.162790697674419,0.720930232558139,0.848837209302326,0.0348837209302326,0.0697674418604651,0.0581395348837209,0.22093023255814,0.255813953488372,0,0.0116279069767442,0.604651162790698,0.132266770560336,0.132266770560336,0.187053460777718,0.229092766763557,0,0.0697674418604651,0.0465116279069767,0.132266770560336,0,0.187053460777718,-0.2,0.116279069767442,-0.0232558139534884
852,182,9,1.48351648351648,0.00938967136150235,0.664835164835165,0.434065934065934,0.0386740331491713,0.037712895377129,6.51222714393091,4.29696168462656,3.17714850253799,12.9240537240537,9.80216117216117,10.1866605616606,9.58310375164835,60.80394993895,12.0608183863652,10.1920496947497,0.0110497237569061,20.2222222222222,0,0,0.0258215962441315,0.00352112676056338,0.0714285714285714,0.131868131868132,0.796703296703297,0.868131868131868,0.0604395604395604,0.0879120879120879,0.148351648351648,0.258241758241758,0.137362637362637,0.00549450549450549,0.010989010989011,0.631868131868132,0.130987593086366,0.185244430645347,0,0.0926222153226734,0.160426382848455,0.021978021978022,0.0659340659340659,0.0926222153226734,0.130987593086366,0.20710956968812,0.5,0.0879120879120879,0.043956043956044
150,31,2,1.61290322580645,0,0.838709677419355,0.451612903225806,0,0.0205479452054795,4.60726445547838,4.15480202785771,2.90423260001156,15.2322580645161,9.48725806451613,8.65451612903226,10.1722164796774,54.6508870967742,13.8166696488959,10.0082032258065,0,15.5,0,0,0.0266666666666667,0.00666666666666667,0,0.290322580645161,0.709677419354839,0.870967741935484,0.129032258064516,0,0.0645161290322581,0.258064516129032,0.258064516129032,0,0,0.580645161290323,0.292893218813453,0,0.292893218813453,0.207106781186548,0,0.0967741935483871,0.0645161290322581,0.207106781186548,0,0,-0.2,0.161290322580645,-0.032258064516129
216,50,5,1.4,0.00925925925925926,0.78,0.48,0.1,0.0334928229665072,5.03572875064339,4.14082205901588,2.96396924986454,7.2,4.83,3.2578,5.8182478416,78.245,8.23873560344571,9.1853,0.02,10,0,0,0.0231481481481481,0,0.18,0.06,0.76,0.8,0.02,0.1,0.06,0.26,0.12,0.04,0,0.54,0,0,0,0.333333333333333,0.333333333333333,0.04,0.02,0.333333333333333,0,0,-0.333333333333333,0.06,-0.02
9,2,1,1,0,1,0.5,0,0,1,3.12192809488736,1,0.8,-3.01,0.765000000000001,-4.13511186080001,120.205,3.1291,11.6307,0.5,2,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1510,362,25,1.27348066298343,0.00198675496688742,0.475138121546961,0.524861878453039,0.0164383561643836,0.0249307479224377,6.83464340082753,4.23619333086484,2.86387319971346,8.99641988950276,5.08427182320442,4.80613259668508,5.87019430711381,84.4013359116022,9.28191603820559,7.66973562430939,0.0136986301369863,14.48,0,0,0.0417218543046358,0.0165562913907285,0.0386740331491713,0.201657458563536,0.759668508287293,0.933701657458563,0.0276243093922652,0.102209944751381,0.0856353591160221,0.18232044198895,0.204419889502762,0.0193370165745856,0.0138121546961326,0.574585635359116,0.0845086531989532,0.169017306397906,0.0597566417459221,0.0845086531989532,0.133619913050983,0.0193370165745856,0.0635359116022099,0.133619913050983,0.119513283491844,0.215455635864454,0.533333333333333,0.0828729281767956,0.0441988950276243
1781,411,30,1.37226277372263,0.00168444693992139,0.518248175182482,0.515815085158151,0.0169082125603865,0.0233644859813084,7.13627349037333,4.24108353857382,3.01508664567276,9.37294403892944,5.94570072992701,5.22262773722628,6.76066859936642,76.8360693430657,9.72561119911124,9.07991294403893,0.0241545893719807,13.7,0,0,0.0370578326782706,0.00954519932622122,0.0510948905109489,0.201946472019465,0.746958637469586,0.91970802919708,0.0291970802919708,0.102189781021898,0.0778588807785888,0.206812652068127,0.211678832116788,0.0072992700729927,0.0121654501216545,0.598540145985401,0.0867886576720226,0.166187627001959,0.0708626422525133,0.12273769673993,0.12273769673993,0.024330900243309,0.0681265206812652,0.112043675267813,0.112043675267813,0.206598329058018,0.473684210526316,0.0924574209245742,0.0437956204379562
